Month	Day	Year	T_avg	T_max	T_min	RH_avg	RH_max	RH_min	Precip	SVP	AVP	VPD
1	28	1996	1.5	3.3	0.6	100	100	100	0	0.681	0.681	0.000
1	29	1996	2.4	4.4	0.6	99	100	84	0	0.726	0.719	0.007
1	30	1996	4.6	7.2	2.2	96	100	76	2.03	0.848	0.814	0.034
1	31	1996	5.6	7.8	3.3	100	100	94	9.4	0.910	0.910	0.000
2	1	1996	6.8	11.7	4.4	99	100	88	0	0.988	0.978	0.010
2	2	1996	6.3	9.4	4.4	100	100	97	0	0.955	0.955	0.000
2	3	1996	5.9	7.2	4.4	98	100	87	0.25	0.929	0.910	0.019
2	4	1996	-9999	-9999	-9999	-9999	-9999	-9999	-9999	29409718.514	-2940677754.248	NA
2	5	1996	8.3	8.9	7.2	100	100	100	192.3	1.095	1.095	0.000
2	6	1996	9.8	14.4	6.1	93	100	77	0	1.212	1.127	0.085
2	7	1996	12.6	17.8	9.4	70	83	56	0	1.459	1.021	0.438
2	8	1996	13.1	17.8	11.1	64	83	53	0	1.508	0.965	0.543
2	9	1996	14.1	18.3	12.2	57	84	44	0	1.609	0.917	0.692
2	10	1996	13.7	17.2	11.1	73	100	61	0	1.568	1.144	0.423
2	11	1996	16	25	11.7	52	59	38	0	1.818	0.946	0.873
2	12	1996	16.4	21.7	13.3	45	54	35	0	1.865	0.839	1.026
2	13	1996	15.6	20	12.8	64	100	43	0	1.772	1.134	0.638
2	14	1996	14.4	19.4	10.6	66	99	48	0	1.641	1.083	0.558
2	15	1996	12.2	18.9	8.3	81	100	59	2.03	1.421	1.151	0.270
2	16	1996	9.8	11.1	8.9	100	100	100	6.1	1.212	1.212	0.000
2	17	1996	8.6	10	7.2	100	100	100	33.78	1.117	1.117	0.000
2	18	1996	6.8	8.3	5.6	100	100	100	65.02	0.988	0.988	0.000
2	19	1996	5.6	6.7	3.9	100	100	100	72.14	0.910	0.910	0.000
2	20	1996	4.8	5	3.9	100	100	100	54.61	0.860	0.860	0.000
2	21	1996	0.8	5	-1.7	100	100	100	47.24	0.647	0.647	0.000
2	22	1996	-1.2	1.1	-2.2	100	100	100	4.57	0.559	0.559	0.000
2	23	1996	0.9	4.4	-2.8	96	100	83	2.03	0.652	0.626	0.026
2	24	1996	-1.8	0.6	-3.3	100	100	100	12.95	0.535	0.535	0.000
2	25	1996	-2.1	2.8	-3.9	100	100	100	6.1	0.524	0.524	0.000
2	26	1996	-1.7	6.1	-4.4	92	100	71	0	0.539	0.496	0.043
2	27	1996	-2.8	-1.7	-3.9	100	100	100	1.02	0.497	0.497	0.000
2	28	1996	-1.2	0	-2.8	100	100	100	13.97	0.559	0.559	0.000
2	29	1996	2.3	6.1	-0.6	100	100	100	2.54	0.721	0.721	0.000
3	1	1996	7.9	16.1	2.8	88	100	55	0	1.065	0.938	0.128
3	2	1996	9.7	15	5.6	69	97	45	0	1.203	0.830	0.373
3	3	1996	6.5	8.3	5	95	100	78	6.86	0.968	0.920	0.048
3	4	1996	3.9	5	1.7	100	100	100	58.42	0.808	0.808	0.000
3	5	1996	0.4	2.8	-1.1	100	100	100	6.86	0.629	0.629	0.000
3	6	1996	5.6	13.3	0	85	100	50	0	0.910	0.773	0.136
3	7	1996	10.8	17.8	6.1	71	100	36	0	1.295	0.920	0.376
3	8	1996	14.1	20.6	10	59	72	43	0	1.609	0.949	0.660
3	9	1996	14.1	18.9	10.6	55	84	38	0	1.609	0.885	0.724
3	10	1996	7.2	10	5	94	100	60	6.35	1.016	0.955	0.061
3	11	1996	4.9	6.1	3.3	100	100	100	30.23	0.866	0.866	0.000
3	12	1996	5.4	8.9	1.7	95	100	82	12.95	0.897	0.852	0.045
3	13	1996	8.2	12.2	5	71	88	56	0.25	1.087	0.772	0.315
3	14	1996	11.8	17.8	7.2	59	71	44	0	1.384	0.817	0.568
3	15	1996	12.4	17.2	8.3	75	100	57	0	1.440	1.080	0.360
3	16	1996	14.6	21.1	10	42	100	30	0	1.662	0.698	0.964
3	17	1996	18.2	23.3	13.3	47	57	31	0	2.090	0.982	1.108
3	18	1996	16.9	22.2	13.3	62	97	39	0	1.925	1.194	0.732
3	19	1996	15.5	20.6	12.2	78	93	63	0	1.761	1.374	0.387
3	20	1996	14.9	20.6	10	64	89	25	0	1.694	1.084	0.610
3	21	1996	13.2	18.3	8.3	72	100	51	0	1.517	1.093	0.425
3	22	1996	4.5	7.8	0.6	92	100	67	3.05	0.842	0.775	0.067
3	23	1996	5.2	10	-0.6	74	100	49	0	0.885	0.655	0.230
3	24	1996	6.5	11.1	2.8	78	100	49	0	0.968	0.755	0.213
3	25	1996	5.6	10.6	0.6	69	100	39	0	0.910	0.628	0.282
3	26	1996	7.6	13.3	4.4	45	75	35	0	1.044	0.470	0.574
3	27	1996	5.6	7.8	2.8	89	100	70	6.6	0.910	0.809	0.100
3	28	1996	3.8	8.3	0	89	100	63	1.27	0.802	0.714	0.088
3	29	1996	5.4	11.1	0.6	77	100	55	0	0.897	0.691	0.206
3	30	1996	8.8	15	3.9	82	95	64	0	1.133	0.929	0.204
3	31	1996	10.5	15.6	5.6	73	100	49	0	1.270	0.927	0.343
4	1	1996	4.2	7.2	1.1	100	100	100	91.69	0.825	0.825	0.000
4	2	1996	6.2	11.1	2.8	99	100	89	0	0.948	0.939	0.009
4	3	1996	8.4	12.2	5	92	100	73	0	1.102	1.014	0.088
4	4	1996	13.1	19.4	7.2	48	73	35	0	1.508	0.724	0.784
4	5	1996	15.9	21.7	11.1	48	77	33	0	1.807	0.867	0.939
4	6	1996	17.2	23.3	12.8	58	93	35	0	1.962	1.138	0.824
4	7	1996	17.6	22.8	13.3	56	85	31	0	2.013	1.127	0.886
4	8	1996	15.4	21.1	7.8	68	100	47	0	1.750	1.190	0.560
4	9	1996	8.1	12.2	6.1	100	100	96	2.54	1.080	1.080	0.000
4	10	1996	8.1	11.7	6.1	98	100	87	0	1.080	1.058	0.022
4	11	1996	8.1	11.7	5	96	100	80	0	1.080	1.037	0.043
4	12	1996	6.2	10.6	0.6	80	100	53	3.3	0.948	0.759	0.190
4	13	1996	9.6	15.6	3.9	65	82	47	0	1.195	0.777	0.418
4	14	1996	12.6	17.2	8.3	66	87	51	0	1.459	0.963	0.496
4	15	1996	9.3	14.4	4.4	90	100	70	28.45	1.172	1.054	0.117
4	16	1996	4.6	6.7	1.7	100	100	100	26.42	0.848	0.848	0.000
4	17	1996	3.3	6.7	1.1	100	100	100	32.51	0.774	0.774	0.000
4	18	1996	4.1	8.9	0	78	100	48	0	0.819	0.639	0.180
4	19	1996	2.5	6.1	0	85	100	60	7.11	0.731	0.622	0.110
4	20	1996	5	11.7	0.6	72	100	40	0.51	0.872	0.628	0.244
4	21	1996	7.9	12.8	2.2	60	80	35	0	1.065	0.639	0.426
4	22	1996	10.8	15.6	6.7	65	85	46	0	1.295	0.842	0.453
4	23	1996	13.3	17.8	10	45	89	19	0	1.527	0.687	0.840
4	24	1996	10.6	14.4	7.2	86	100	65	13.72	1.278	1.099	0.179
4	25	1996	17.2	22.8	8.9	48	83	30	0.25	1.962	0.942	1.020
4	26	1996	19.2	23.9	15	30	43	20	0	2.225	0.667	1.557
4	27	1996	16.4	22.2	11.7	17	23	11	0	1.865	0.317	1.548
4	28	1996	16	22.2	10	15	19	10	0	1.818	0.273	1.546
4	29	1996	18.9	24.4	13.9	24	41	11	0	2.184	0.524	1.660
4	30	1996	22.1	28.3	17.2	23	26	17	0	2.660	0.612	2.048
5	1	1996	21.4	25.6	16.7	26	30	20	0	2.549	0.663	1.886
5	2	1996	16.8	21.1	12.2	30	39	26	0	1.913	0.574	1.339
5	3	1996	13.1	16.7	8.9	33	47	17	0	1.508	0.498	1.010
5	4	1996	13.1	17.8	8.9	28	41	16	0	1.508	0.422	1.085
5	5	1996	13	17.8	8.3	29	41	19	0	1.498	0.434	1.063
5	6	1996	13.2	17.2	9.4	34	39	26	0	1.517	0.516	1.002
5	7	1996	12.5	16.7	9.4	37	58	21	0	1.449	0.536	0.913
5	8	1996	12.8	17.2	8.9	33	53	21	0	1.478	0.488	0.990
5	9	1996	15	20	10	32	44	23	0	1.705	0.546	1.160
5	10	1996	17.7	23.9	11.1	29	38	18	0	2.025	0.587	1.438
5	11	1996	23.2	27.8	18.3	28	41	7	0	2.844	0.796	2.047
5	12	1996	24.2	29.4	19.4	33	44	22	0	3.020	0.997	2.023
5	13	1996	20.1	23.9	13.9	50	73	37	0	2.353	1.176	1.176
5	14	1996	12.6	14.4	10	92	100	75	9.4	1.459	1.342	0.117
5	15	1996	9.9	12.2	8.9	99	100	88	61.47	1.220	1.208	0.012
5	16	1996	9.2	10	7.8	100	100	100	73.91	1.164	1.164	0.000
5	17	1996	8.8	9.4	8.3	100	100	100	52.83	1.133	1.133	0.000
5	18	1996	7.4	8.9	6.7	100	100	100	4.32	1.030	1.030	0.000
5	19	1996	9.6	15	5.6	69	100	38	0	1.195	0.825	0.371
5	20	1996	12.3	17.8	7.2	51	73	36	0	1.431	0.730	0.701
5	21	1996	7.6	9.4	3.3	90	100	39	50.55	1.044	0.940	0.104
5	22	1996	10.2	15	6.1	79	100	44	2.54	1.245	0.983	0.261
5	23	1996	10.8	16.1	6.1	40	56	23	0	1.295	0.518	0.777
5	24	1996	14.5	21.1	6.7	38	49	30	0	1.651	0.627	1.024
5	25	1996	18	24.4	12.2	42	53	28	0	2.064	0.867	1.197
5	26	1996	17	20.6	10	58	100	43	0	1.938	1.124	0.814
5	27	1996	13.4	18.9	7.8	81	100	60	0	1.537	1.245	0.292
5	28	1996	14.8	18.9	11.1	72	86	57	0	1.684	1.212	0.471
5	29	1996	14.1	18.3	11.1	78	97	62	0	1.609	1.255	0.354
5	30	1996	15	18.9	11.1	64	95	44	0	1.705	1.091	0.614
5	31	1996	17.6	22.8	12.2	52	62	38	0	2.013	1.047	0.966
6	1	1996	22.3	27.8	16.7	42	51	29	0	2.693	1.131	1.562
6	2	1996	25.2	29.4	20	34	47	23	0	3.206	1.090	2.116
6	3	1996	26.2	31.1	21.7	25	33	19	0	3.401	0.850	2.551
6	4	1996	24.8	30	21.1	33	40	24	0	3.130	1.033	2.097
6	5	1996	25.8	30	21.1	36	47	24	0	3.322	1.196	2.126
6	6	1996	26.5	31.7	22.2	39	48	31	0	3.462	1.350	2.112
6	7	1996	25.7	30	21.7	44	58	34	0	3.302	1.453	1.849
6	8	1996	24.6	28.9	20	41	60	22	0	3.093	1.268	1.825
6	9	1996	23.7	26.7	18.9	34	45	25	0	2.931	0.996	1.934
6	10	1996	20.9	23.9	17.2	41	46	35	0	2.472	1.013	1.458
6	11	1996	22	26.7	17.2	45	52	37	0	2.644	1.190	1.454
6	12	1996	22	26.1	18.3	48	61	34	0	2.644	1.269	1.375
6	13	1996	20.8	25.6	17.2	44	59	27	0	2.457	1.081	1.376
6	14	1996	21.4	26.7	16.7	33	48	26	0	2.549	0.841	1.708
6	15	1996	21	25	16.7	39	52	32	0	2.487	0.970	1.517
6	16	1996	19	23.3	14.4	40	65	30	0	2.197	0.879	1.318
6	17	1996	17.6	21.7	13.9	48	60	41	0	2.013	0.966	1.047
6	18	1996	19.6	24.4	14.4	35	57	25	0	2.281	0.798	1.483
6	19	1996	20.2	24.4	16.1	33	45	29	0	2.367	0.781	1.586
6	20	1996	18.5	22.8	15	38	53	29	0	2.130	0.809	1.320
6	21	1996	17.9	22.2	13.9	45	52	37	0	2.051	0.923	1.128
6	22	1996	20.2	24.4	15.6	40	55	23	0	2.367	0.947	1.420
6	23	1996	18.9	23.3	12.8	45	71	32	0	2.184	0.983	1.201
6	24	1996	13.2	17.2	10	63	80	47	0	1.517	0.956	0.561
6	25	1996	13.3	16.7	10.6	61	67	54	0	1.527	0.932	0.596
6	26	1996	9.8	12.2	7.8	95	100	66	6.86	1.212	1.151	0.061
6	27	1996	11.2	15.6	7.8	86	100	69	0.25	1.330	1.144	0.186
6	28	1996	17.4	23.3	11.1	61	86	40	0	1.987	1.212	0.775
6	29	1996	22.7	27.8	16.7	46	53	38	0	2.759	1.269	1.490
6	30	1996	25.8	30.6	20.6	36	43	29	0	3.322	1.196	2.126
7	1	1996	27	31.1	22.8	30	39	20	0	3.565	1.070	2.496
7	2	1996	25.6	31.1	21.1	29	38	22	0	3.283	0.952	2.331
7	3	1996	23.5	27.8	18.9	37	51	29	0	2.896	1.071	1.824
7	4	1996	21.2	25.6	17.2	37	53	24	0	2.518	0.932	1.586
7	5	1996	24.6	30.6	17.8	30	38	24	0	3.093	0.928	2.165
7	6	1996	25.3	30.6	21.7	34	43	26	0	3.225	1.096	2.128
7	7	1996	26.6	32.8	22.8	37	46	24	0	3.483	1.289	2.194
7	8	1996	26.2	30.6	21.7	40	49	28	0	3.401	1.361	2.041
7	9	1996	26.6	29.4	23.3	33	43	21	0	3.483	1.149	2.333
7	10	1996	27.4	32.2	21.7	33	47	21	0	3.650	1.204	2.445
7	11	1996	26.5	31.1	22.8	36	45	28	0	3.462	1.246	2.216
7	12	1996	26.2	29.4	23.9	35	44	27	0	3.401	1.190	2.211
7	13	1996	27.1	31.1	22.8	47	58	39	6.35	3.586	1.686	1.901
7	14	1996	27.1	30.6	22.8	47	60	39	0	3.586	1.686	1.901
7	15	1996	24	27.8	18.9	46	58	27	0	2.984	1.373	1.611
7	16	1996	21.7	26.1	17.8	43	59	30	0	2.596	1.116	1.480
7	17	1996	19	22.8	14.4	54	78	46	0	2.197	1.187	1.011
7	18	1996	18.5	24.4	13.9	52	76	30	0	2.130	1.107	1.022
7	19	1996	22	27.8	14.4	27	37	17	0	2.644	0.714	1.930
7	20	1996	26.4	30.6	21.1	31	38	25	0	3.442	1.067	2.375
7	21	1996	27.4	32.8	22.8	31	41	24	0	3.650	1.131	2.518
7	22	1996	26.5	32.8	22.8	34	43	21	0	3.462	1.177	2.285
7	23	1996	26.8	32.2	23.3	37	53	22	0	3.524	1.304	2.220
7	24	1996	27.7	32.2	23.3	39	46	33	0	3.714	1.449	2.266
7	25	1996	28.7	33.3	25	33	40	28	0	3.937	1.299	2.638
7	26	1996	27.2	33.9	23.3	38	52	25	0	3.607	1.371	2.237
7	27	1996	25	28.9	22.8	37	45	27	0	3.168	1.172	1.996
7	28	1996	24.3	32.2	16.1	46	75	28	1.78	3.038	1.398	1.641
7	29	1996	27.7	33.9	21.7	39	49	29	0	3.714	1.449	2.266
7	30	1996	28.2	33.3	23.9	35	41	27	0	3.824	1.338	2.486
7	31	1996	27.4	32.2	23.3	31	41	22	0	3.650	1.131	2.518
8	1	1996	24.9	30.6	21.7	26	34	17	0	3.149	0.819	2.330
8	2	1996	24.1	28.3	18.3	24	36	17	0	3.002	0.720	2.281
8	3	1996	20.5	25	16.7	41	50	31	0	2.412	0.989	1.423
8	4	1996	22.2	27.2	17.2	33	53	26	0	2.676	0.883	1.793
8	5	1996	20.6	24.4	17.2	36	44	24	0	2.427	0.874	1.553
8	6	1996	21.9	26.7	17.2	38	46	32	0	2.628	0.999	1.629
8	7	1996	24.4	31.1	18.9	38	48	26	0	3.056	1.161	1.895
8	8	1996	28.1	34.4	23.3	23	39	10	0	3.802	0.874	2.928
8	9	1996	30.3	35	26.1	18	27	13	0	4.317	0.777	3.540
8	10	1996	30.6	36.7	25.6	20	24	16	0	4.391	0.878	3.513
8	11	1996	31.4	36.7	26.7	24	32	20	0	4.596	1.103	3.493
8	12	1996	28.2	32.8	26.7	33	39	29	0	3.824	1.262	2.562
8	13	1996	29.6	35	26.1	35	39	31	0	4.147	1.451	2.695
8	14	1996	28.4	33.3	23.9	31	39	22	0	3.869	1.199	2.670
8	15	1996	26.6	32.2	22.8	29	34	22	0	3.483	1.010	2.473
8	16	1996	26.7	31.7	22.2	25	30	19	0	3.503	0.876	2.627
8	17	1996	24.1	29.4	20	27	34	21	0	3.002	0.811	2.191
8	18	1996	21.6	26.1	18.3	31	42	24	0	2.580	0.800	1.780
8	19	1996	19.9	24.4	17.2	37	41	32	0	2.324	0.860	1.464
8	20	1996	20.3	25	15.6	32	39	25	0	2.382	0.762	1.620
8	21	1996	23.1	28.3	17.8	31	35	28	0	2.826	0.876	1.950
8	22	1996	25.7	32.2	21.1	33	43	25	0	3.302	1.090	2.213
8	23	1996	27.8	33.3	23.3	28	35	21	0	3.736	1.046	2.690
8	24	1996	27.2	31.1	23.3	32	42	23	0	3.607	1.154	2.453
8	25	1996	24.4	28.3	20.6	35	44	28	0	3.056	1.070	1.987
8	26	1996	20.6	25	16.1	41	55	32	0	2.427	0.995	1.432
8	27	1996	19.7	25	13.9	38	54	23	0	2.295	0.872	1.423
8	28	1996	24.5	30.6	19.4	30	35	25	0	3.075	0.922	2.152
8	29	1996	25.5	31.1	22.2	33	39	20	0	3.263	1.077	2.186
8	30	1996	27.7	32.8	22.8	27	35	12	0	3.714	1.003	2.712
8	31	1996	25.3	30	22.2	23	27	17	0	3.225	0.742	2.483
9	1	1996	24.9	30.6	21.1	21	29	16	0	3.149	0.661	2.488
9	2	1996	23.4	28.3	20	26	41	19	0	2.878	0.748	2.130
9	3	1996	21.2	26.1	17.8	28	32	23	0	2.518	0.705	1.813
9	4	1996	16.3	21.1	11.7	42	65	32	0	1.853	0.778	1.075
9	5	1996	18.4	23.3	11.1	36	71	22	0	2.116	0.762	1.355
9	6	1996	20.4	25.6	16.1	23	27	20	0	2.397	0.551	1.846
9	7	1996	21.2	26.7	17.2	23	26	19	0	2.518	0.579	1.939
9	8	1996	23.3	28.3	18.9	21	28	16	0	2.861	0.601	2.260
9	9	1996	24.6	30	19.4	22	26	18	0	3.093	0.680	2.413
9	10	1996	24.8	31.7	20.6	24	27	20	0	3.130	0.751	2.379
9	11	1996	21.1	26.1	16.1	34	51	27	0	2.502	0.851	1.652
9	12	1996	15.8	20	12.2	46	65	31	0	1.795	0.826	0.969
9	13	1996	10.9	12.2	9.4	88	100	63	6.86	1.304	1.148	0.156
9	14	1996	14.3	20.6	9.4	72	99	53	0	1.630	1.174	0.456
9	15	1996	12.2	14.4	10	92	100	72	6.1	1.421	1.307	0.114
9	16	1996	13.8	20.6	8.3	51	74	39	0.25	1.578	0.805	0.773
9	17	1996	14.7	18.9	11.7	40	54	28	0	1.673	0.669	1.004
9	18	1996	16.7	23.9	11.1	32	40	23	0	1.901	0.608	1.293
9	19	1996	19	25	14.4	29	39	24	0	2.197	0.637	1.560
9	20	1996	21.4	26.1	16.1	35	42	27	0	2.549	0.892	1.657
9	21	1996	21.2	26.7	16.7	40	56	32	0	2.518	1.007	1.511
9	22	1996	19	24.4	16.1	44	59	37	0	2.197	0.967	1.231
9	23	1996	19.9	26.1	15.6	40	47	32	0	2.324	0.930	1.394
9	24	1996	19.9	24.4	15.6	41	48	37	0	2.324	0.953	1.371
9	25	1996	20.2	25.6	17.2	39	47	31	0	2.367	0.923	1.444
9	26	1996	22.6	26.1	18.9	24	33	19	0	2.742	0.658	2.084
9	27	1996	22.8	27.8	17.8	28	34	25	0	2.776	0.777	1.998
9	28	1996	25.6	30.6	20.6	31	37	22	0	3.283	1.018	2.265
9	29	1996	25.1	28.9	21.1	32	38	29	0	3.187	1.020	2.167
9	30	1996	21.4	26.1	18.3	38	45	32	0	2.549	0.969	1.580
10	1	1996	18.7	21.7	16.1	48	56	37	0	2.157	1.035	1.121
10	2	1996	20.8	24.4	16.7	51	60	38	0	2.457	1.253	1.204
10	3	1996	21.7	25.6	17.8	45	58	35	0	2.596	1.168	1.428
10	4	1996	20.8	26.1	17.8	40	50	32	0	2.457	0.983	1.474
10	5	1996	23.6	28.9	18.9	30	40	21	0	2.913	0.874	2.039
10	6	1996	24.9	29.4	21.1	26	32	19	0	3.149	0.819	2.330
10	7	1996	26.6	33.3	23.3	22	32	16	0	3.483	0.766	2.716
10	8	1996	27.5	33.9	23.3	20	27	16	0	3.671	0.734	2.937
10	9	1996	24.2	30	18.9	30	43	23	0	3.020	0.906	2.114
10	10	1996	20.1	25.6	16.1	36	46	28	0	2.353	0.847	1.506
10	11	1996	18.7	25	14.4	35	46	23	0	2.157	0.755	1.402
10	12	1996	17.2	21.7	13.9	51	67	38	0	1.962	1.001	0.962
10	13	1996	14.3	18.9	10	63	92	41	0	1.630	1.027	0.603
10	14	1996	15.9	21.1	11.1	34	55	18	0	1.807	0.614	1.192
10	15	1996	15.6	20.6	11.7	30	37	23	0	1.772	0.532	1.241
10	16	1996	12.1	17.2	8.3	34	51	26	0	1.412	0.480	0.932
10	17	1996	13.7	20	9.4	27	33	19	0	1.568	0.423	1.144
10	18	1996	7.2	10.6	3.3	82	100	29	12.95	1.016	0.833	0.183
10	19	1996	5.5	9.4	2.8	58	79	47	0	0.903	0.524	0.379
10	20	1996	7.4	13.9	2.8	34	47	24	0	1.030	0.350	0.680
10	21	1996	9.3	16.7	5	30	48	21	0	1.172	0.351	0.820
10	22	1996	10.8	17.2	6.7	42	64	29	0	1.295	0.544	0.751
10	23	1996	12.1	17.8	8.9	50	61	38	0	1.412	0.706	0.706
10	24	1996	7.7	10.6	3.9	91	100	54	6.6	1.051	0.956	0.095
10	25	1996	4.3	9.4	2.8	75	100	62	1.27	0.831	0.623	0.208
10	26	1996	6.7	11.1	2.2	46	66	38	0	0.981	0.451	0.530
10	27	1996	10.8	16.7	6.1	31	41	22	0	1.295	0.402	0.894
10	28	1996	9.1	12.8	5	47	91	25	0.25	1.156	0.543	0.613
10	29	1996	3.7	4.4	2.8	99	100	92	47.75	0.796	0.788	0.008
10	30	1996	5.1	8.9	3.3	98	100	79	5.84	0.878	0.861	0.018
10	31	1996	7.3	13.3	3.3	83	100	59	0.51	1.023	0.849	0.174
11	1	1996	12.9	20	7.8	50	67	31	0	1.488	0.744	0.744
11	2	1996	13.2	22.2	7.8	57	97	31	0	1.517	0.865	0.653
11	3	1996	9.6	13.9	5	74	100	58	0	1.195	0.885	0.311
11	4	1996	5.1	7.2	4.4	100	100	98	0	0.878	0.878	0.000
11	5	1996	7	14.4	3.3	47	100	23	0	1.002	0.471	0.531
11	6	1996	9.7	16.1	5	28	36	13	0	1.203	0.337	0.867
11	7	1996	14	21.7	10	39	52	21	0	1.599	0.623	0.975
11	8	1996	17.4	26.1	13.3	41	57	30	0	1.987	0.815	1.173
11	9	1996	18.6	24.4	15	25	33	19	0	2.143	0.536	1.607
11	10	1996	18.3	24.4	15.6	30	39	24	0	2.103	0.631	1.472
11	11	1996	17.1	21.1	15	30	41	25	0	1.950	0.585	1.365
11	12	1996	15.5	18.3	13.3	34	43	24	0	1.761	0.599	1.162
11	13	1996	12.8	18.3	8.9	62	92	42	0	1.478	0.917	0.562
11	14	1996	7.6	12.2	5	75	89	56	0	1.044	0.783	0.261
11	15	1996	5.3	9.4	2.8	72	86	59	0	0.891	0.641	0.249
11	16	1996	3.1	5.6	1.1	84	100	70	13.72	0.763	0.641	0.122
11	17	1996	8.6	10.6	4.4	100	100	100	90.93	1.117	1.117	0.000
11	18	1996	9.3	11.1	7.8	100	100	100	23.11	1.172	1.172	0.000
11	19	1996	8.4	8.9	7.2	100	100	100	56.39	1.102	1.102	0.000
11	20	1996	9	10	8.3	100	100	100	3.3	1.148	1.148	0.000
11	21	1996	9.3	10.6	7.8	100	100	100	17.78	1.172	1.172	0.000
11	22	1996	6.6	7.8	5.6	100	100	100	30.48	0.975	0.975	0.000
11	23	1996	7.6	13.3	5	99	100	88	0	1.044	1.033	0.010
11	24	1996	8.2	11.1	5.6	89	100	75	0	1.087	0.968	0.120
11	25	1996	10.2	15.6	7.8	68	91	51	0	1.245	0.846	0.398
11	26	1996	10.2	16.1	6.7	33	53	20	0.25	1.245	0.411	0.834
11	27	1996	11.3	20	6.1	40	89	14	0	1.339	0.536	0.803
11	28	1996	5.2	6.7	3.3	71	100	44	1.52	0.885	0.628	0.257
11	29	1996	5.6	11.1	1.7	41	53	20	0	0.910	0.373	0.537
11	30	1996	7.2	12.2	3.3	52	100	13	3.56	1.016	0.528	0.488
12	1	1996	3.9	7.2	0	86	100	54	25.91	0.808	0.694	0.113
12	2	1996	3.8	8.9	0	49	72	30	0	0.802	0.393	0.409
12	3	1996	4.6	8.9	2.2	56	70	44	0	0.848	0.475	0.373
12	4	1996	4.8	6.7	2.8	80	100	55	75.69	0.860	0.688	0.172
12	5	1996	5.4	7.8	3.9	100	100	100	39.37	0.897	0.897	0.000
12	6	1996	3.6	3.9	2.8	100	100	100	3.56	0.791	0.791	0.000
12	7	1996	5.5	8.9	2.8	92	100	65	7.37	0.903	0.831	0.072
12	8	1996	7.3	8.3	6.7	93	100	80	0.25	1.023	0.951	0.072
12	9	1996	6.5	7.2	6.1	100	100	100	69.6	0.968	0.968	0.000
12	10	1996	6	6.7	5.6	100	100	100	90.68	0.935	0.935	0.000
12	11	1996	7.6	8.9	6.1	100	100	100	86.87	1.044	1.044	0.000
12	12	1996	6.6	8.3	5.6	100	100	100	18.54	0.975	0.975	0.000
12	13	1996	6.9	12.8	3.9	81	100	40	10.92	0.995	0.806	0.189
12	14	1996	9.6	11.7	6.1	19	34	8	0	1.195	0.227	0.968
12	15	1996	11.3	17.8	8.3	29	58	15	0	1.339	0.388	0.951
12	16	1996	16.2	23.3	11.1	24	32	19	0	1.842	0.442	1.400
12	17	1996	9.5	12.2	7.8	20	33	8	0	1.187	0.237	0.950
12	18	1996	9.1	15	6.1	23	41	8	0	1.156	0.266	0.890
12	19	1996	11.5	22.8	6.1	30	60	15	0	1.357	0.407	0.950
12	20	1996	4	6.1	1.1	68	100	53	16.26	0.813	0.553	0.260
12	21	1996	0.9	2.8	-1.1	100	100	100	30.48	0.652	0.652	0.000
12	22	1996	0.7	1.1	0	100	100	100	18.54	0.643	0.643	0.000
12	23	1996	1.9	3.9	0.6	95	100	71	23.37	0.701	0.666	0.035
12	24	1996	4.6	9.4	1.7	56	78	42	6.6	0.848	0.475	0.373
12	25	1996	9.4	18.3	5	48	99	15	4.83	1.179	0.566	0.613
12	26	1996	5	7.2	2.8	100	100	100	119.4	0.872	0.872	0.000
12	27	1996	4.9	5.6	3.9	100	100	100	50.8	0.866	0.866	0.000
12	28	1996	5	5.6	5	100	100	100	20.07	0.872	0.872	0.000
12	29	1996	7.1	8.3	5.6	90	100	61	59.94	1.009	0.908	0.101
12	30	1996	9.2	9.4	8.3	100	100	100	54.86	1.164	1.164	0.000
12	31	1996	10.1	10.6	9.4	100	100	100	0	1.236	1.236	0.000
1	1	1997	11.5	12.2	10.6	100	100	100	0	1.357	1.357	0.000
1	2	1997	7.9	11.1	6.7	100	100	100	0	1.065	1.065	0.000
1	3	1997	5.1	7.8	2.8	96	100	87	0	0.878	0.843	0.035
1	4	1997	3.2	4.4	2.2	98	100	94	0	0.769	0.753	0.015
1	5	1997	2.7	10	-0.6	66	100	40	0	0.742	0.490	0.252
1	6	1997	4.5	10.6	-0.6	25	39	15	0	0.842	0.211	0.632
1	7	1997	10	16.7	6.1	26	31	17	0	1.228	0.319	0.909
1	8	1997	11.2	16.1	7.8	26	49	14	0	1.330	0.346	0.984
1	9	1997	12	16.1	9.4	37	61	16	0	1.403	0.519	0.884
1	10	1997	10.2	17.8	5.6	43	58	26	0	1.245	0.535	0.709
1	11	1997	6.2	11.7	1.1	66	100	43	0	0.948	0.626	0.322
1	12	1997	-1	2.8	-7.2	79	100	30	0.25	0.568	0.449	0.119
1	13	1997	-6	-1.7	-8.9	37	57	27	0	0.390	0.144	0.246
1	14	1997	0.1	6.7	-5	36	43	23	0	0.615	0.221	0.394
1	15	1997	2.3	3.9	-1.7	98	100	60	4.57	0.721	0.707	0.014
1	16	1997	5.7	10	2.8	91	100	74	0	0.916	0.833	0.082
1	17	1997	10.3	17.2	5	67	98	47	0	1.253	0.839	0.413
1	18	1997	11.6	17.2	8.9	42	51	29	0	1.366	0.574	0.792
